Brand,Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R (Up to, in MB/s)","W (Up to, in MB/s)",Categories,Notes (*)
Biwin,X570 PRO,x4 PCIe 5.0/NVMe,M.2,2TB,SMI SM2508,,Yes,N/A,YMTC,TLC,232,14000,13000,High-End NVMe,
Biwin,X570 PRO,x4 PCIe 5.0/NVMe,M.2,4TB,SMI SM2508,,Yes,N/A,YMTC,TLC,232,14000,13000,High-End NVMe,
Buffalo,SSD-PSMU3,USB 3.2 Gen 1x1,USB-C,120GB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,64,430,430,Mid-Range SATA,Portable
Buffalo,SSD-PSMU3,USB 3.2 Gen 1x1,USB-C,240GB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,64,430,430,Mid-Range SATA,Portable
Buffalo,SSD-PSMU3,USB 3.2 Gen 1x1,USB-C,480GB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,64,430,430,Mid-Range SATA,Portable
Buffalo,SSD-PSMU3,USB 3.2 Gen 1x1,USB-C,960GB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,64,430,430,Mid-Range SATA,Portable
CalDigit,Tuff Nano Plus,USB 3.2 Gen 2x1,USB-C,512GB,,,,,,,,1055,,,2TB = Tuff nano Plus
CalDigit,Tuff Nano Plus,USB 3.2 Gen 2x1,USB-C,1TB,,,,,,,,1055,,,2TB = Tuff nano Plus
CalDigit,Tuff Nano Plus,USB 3.2 Gen 2x1,USB-C,2TB,,,,,,,,1055,,,2TB = Tuff nano Plus
CFD Gaming,PG5NFZ,x4 PCIe 5.0/NVMe,M.2,1TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,232,10000,9500,High-End NVMe,
CFD Gaming,PG5NFZ,x4 PCIe 5.0/NVMe,M.2,2TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,232,10000,9500,High-End NVMe,
CFD Gaming,PG5NFZ,x4 PCIe 5.0/NVMe,M.2,4TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,232,10000,9500,High-End NVMe,
