System,Brand,Range,,Type,Mount,Lens,,FL (mm),Max FL (mm),Max. Aper.,Filter (mm),MFD (cm),Diam. (mm),Diam. (in.),Length (mm),Length (in.),Weight (g),Weight (oz),IS,WR,Elements,Blades,Price (new),,Notes
Sony,Sony,APS-C,Zoom,,E,Sony Zeiss Vario-Tessar T* E 16-70mm F4 ZA OSS,,16,70,4,55,35,66.6,2.62,75,2.95,308,10.87,Yes,,,,1098,2013,
Sony,Sony,APS-C,Zoom,,E,Sony E 18-50mm F4-5.6,,18,50,4,55,40,68.5,2.7,59,2.32,116,4.09,No,,,,,2014,
Sony,Sony,APS-C,Zoom,,E,Sony E 18-55mm F3.5-5.6 OSS,,18,55,3.5,49,25,62,2.44,60,2.36,194,6.84,Yes,,,,,,
Sony,Sony,APS-C,Zoom,,E,Sony E PZ 18-105mm F4 G OSS,,18,105,4,72,45,78,3.07,110,4.33,427,15.06,Yes,,,,698,2013,
Sony,Sony,APS-C,Zoom,,E,Sony E PZ 18-110mm F4 G OSS,,18,110,4,95,40,110,4.33,167.5,6.59,1105,38.98,Yes,,,,1198,2016,
Sony,Sony,APS-C,Zoom,,E,Sony E 18-135mm F3.5-5.6 OSS,,18,135,3.5,55,45,67.2,2.65,88,3.46,325,11.46,Yes,,,,798,2018,
Sony,Sony,APS-C,Zoom,,E,Sony E 18-200mm F3.5-6.3 OSS,,18,200,3.5,67,30,75.5,2.97,99,3.9,524,18.49,Yes,,,,898,2010,
Sony,Sony,APS-C,Zoom,,E,Sony E 18-200mm F3.5-6.3 OSS LE,,18,200,3.5,62,50,68,2.68,97.1,3.82,460,16.23,Yes,,,,798,2012,
Sony,Sony,APS-C,Zoom,,E,Sony E PZ 18-200mm F3.5-6.3 OSS,,18,200,3.5,67,30,93.2,3.67,99,3.9,649,22.89,Yes,,,,998,2012,
Sony,Sony,APS-C,Zoom,,E,Sony E 55-210mm F4.5-6.3 OSS,,55,210,4.5,49,100,63.8,2.51,108,4.25,345,12.17,Yes,,,,349,2011,
Sony,Sony,APS-C,Zoom,,E,Sony E 70-350mm F4.5-6.3 G OSS,,70,350,4.5,67,110,77,3.03,142,5.59,625,22.05,Yes,,,,998,2019,
Sony,Sony,APS-C,Prime,,E,Sony E 11mm F1.8,,11,11,1.8,55,15,66,2.6,57.5,2.26,181,6.39,No,,,,548,2022,
Sony,Sony,APS-C,Prime,,E,Sony E 15mm F1.4 G,,15,15,1.4,55,17,66.6,2.62,69.5,2.74,219,7.73,No,,,,798,2022,
Sony,Sony,APS-C,Prime,,E,Sony E 16mm F2.8,,16,16,2.8,49,24,62,2.44,22.5,0.89,67,2.36,No,,,,299,2010,
Sony,Sony,APS-C,Prime,,E,Sony E 20mm F2.8,,20,20,2.8,49,20,62.6,2.46,20.4,0.8,69,2.43,No,,,,349,2013,
Sony,Sony,APS-C,Prime,,E,Sony Zeiss Sonnar T* E 24mm F1.8 ZA,,24,24,1.8,49,16,63,2.48,65.5,2.58,225,7.94,No,,,,1198,2011,
Sony,Sony,APS-C,Prime,,E,Sony E 30mm F3.5 Macro,,30,30,3.5,49,9.5,62,2.44,55.5,2.18,138,4.87,No,,,,298,2011,
Sony,Sony,APS-C,Prime,,E,Sony E 35mm F1.8 OSS,,35,35,1.8,49,30,63,2.48,45,1.77,154,5.43,Yes,,,,448,2012,
Sony,Sony,APS-C,Prime,,E,Sony E 50mm F1.8 OSS,,50,50,1.8,49,39,62,2.44,62,2.44,202,7.13,Yes,,,,349,2011,
Sony,Sony,Full frame,Zoom,,E,Sony FE 12-24mm F2.8 GM,,12,24,2.8,N/A,28,97.6,3.84,137,5.39,847,29.88,No,,,,2898,2020,
Sony,Sony,Full frame,Zoom,,E,Sony FE 12-24mm F4 G,,12,24,4,N/A,28,87,3.43,117,4.61,565,19.93,No,,,,1498,2017,
Sony,Sony,Full frame,Zoom,,E,Sony FE 16-25mm F2.8 G,,16,25,2.8,67,18,74.8,2.94,91.4,3.6,409,14.43,No,,,,1198,2024,
Sony,Sony,Full frame,Zoom,,E,Sony FE 16-35mm F2.8 GM,,16,35,2.8,82,28,88.5,3.48,121.6,4.79,680,23.99,No,,,,2198,2017,
Sony,Sony,Full frame,Zoom,,E,Sony FE 16-35mm F2.8 GM II,,16,35,2.8,82,22,87.8,3.46,111.5,4.39,547,19.29,No,,,,2298,2023,
Sony,Sony,Full frame,Zoom,,E,Sony FE PZ 16-35mm F4 G,,16,35,4,72,24,80.5,3.17,88.1,3.47,353,12.45,No,,,,1398,2022,
Sony,Sony,Full frame,Zoom,,E,Sony Zeiss Vario-Tessar T* FE 16-35mm F4 ZA OSS,,16,35,4,72,28,78,3.07,98.5,3.88,518,18.27,Yes,,,,1348,2014,
Sony,Sony,Full frame,Zoom,,E,Sony FE C 16-35mm T3.1 G,,16,35,T3.1,N/A,28,118.4,4.66,190,7.48,1390,49.03,No,,,,5499,2019,
Sony,Sony,Full frame,Zoom,,E,Sony FE 20-70mm F4 G,,20,70,4,72,25,78.7,3.1,99,3.9,488,17.21,No,,,,1098,2023,
Sony,Sony,Full frame,Zoom,,E,Sony FE 24-50mm F2.8 G,,24,50,2.8,67,18,74.8,2.94,92.3,3.63,440,15.52,No,,,,1098,2024,
Sony,Sony,Full frame,Zoom,,E,Sony Zeiss Vario-Tessar T* FE 24-70mm F4 ZA OSS,,24,70,4,67,40,73,2.87,94.5,3.72,426,15.03,Yes,,,,1198,2014,
Sony,Sony,Full frame,Zoom,,E,Sony FE 24-70mm F2.8 GM,,24,70,2.8,82,38,87.6,3.45,136,5.35,886,31.25,No,,,,2198,2016,
Sony,Sony,Full frame,Zoom,,E,Sony FE 24-70mm F2.8 GM II,,24,70,2.8,82,21,87.8,3.46,120,4.72,695,24.51,No,,,,2298,2022,
Sony,Sony,Full frame,Zoom,,E,Sony FE 24-105mm F4 G OSS,,24,105,4,77,38,83.4,3.28,113.3,4.46,663,23.39,Yes,,,,1398,2017,
Sony,Sony,Full frame,Zoom,,E,Sony FE 24-240mm F3.5-6.3 OSS,,24,240,3.5,72,50,80.5,3.17,119,4.69,780,27.51,Yes,,,,998,2015,
Sony,Sony,Full frame,Zoom,,E,Sony FE 28-60mm F4-5.6,,28,60,4,40.5,30,66.6,2.62,45,1.77,167,5.89,No,,,,498,2020,
Sony,Sony,Full frame,Zoom,,E,Sony FE 28-70mm F2 GM,,28,70,2,86,38,92.9,3.66,139.8,5.5,918,32.38,No,,,,2998,2024,
Sony,Sony,Full frame,Zoom,,E,Sony FE 28-70mm F3.5-5.6 OSS II,,28,70,3.5,55,30,72.5,2.85,83,3.27,293,10.34,Yes,,,,599,2025,
Sony,Sony,Full frame,Zoom,,E,Sony FE 28-70mm F3.5-5.6 OSS,,28,70,3.5,55,30,72.5,2.85,83,3.27,295,10.41,Yes,,,,398,2013,
Sony,Sony,Full frame,Zoom,,E,Sony FE PZ 28-135mm F4 G OSS,,28,135,4,95,40,105,4.13,162.5,6.4,1215,42.86,Yes,,,,2499,2014,
Sony,Sony,Full frame,Zoom,,E,Sony FE 50-150mm F2 GM,,50,150,2,95,40,102.8,4.05,200,7.87,1340,47.27,No,,,,2999,2025,
Sony,Sony,Full frame,Zoom,,E,Sony FE 70-200mm F4 G OSS,,70,200,4,72,100,80,3.15,175,6.89,840,29.63,Yes,,,,1498,2014,
Sony,Sony,Full frame,Zoom,,E,Sony FE 70-200mm F4 Macro G OSS II,,70,200,4,72,26,82.2,3.24,149,5.87,794,28.01,Yes,,,,1698,2023,
Sony,Sony,Full frame,Zoom,,E,Sony FE 70-200mm F2.8 GM OSS,,70,200,2.8,77,96,88,3.46,205.3,8.08,1480,52.21,Yes,,,,2598,2016,
Sony,Sony,Full frame,Zoom,,E,Sony FE 70-200mm F2.8 GM OSS II,,70,200,2.8,77,40,88,3.46,200,7.87,1045,36.86,Yes,,,,2798,2021,
Sony,Sony,Full frame,Zoom,,E,Sony FE 70-300mm F4.5-5.6 G OSS,,70,300,4.5,72,90,84,3.31,143.5,5.65,854,30.12,Yes,,,,1198,2016,
Sony,Sony,Full frame,Zoom,,E,Sony FE 100-400mm F4.5-5.6 GM OSS,,100,400,4.5,77,98,93.9,3.7,205,8.07,1398,49.31,Yes,,,,2498,2017,
Sony,Sony,Full frame,Zoom,,E,Sony FE 200-600mm F5.6-6.3 G OSS,,200,600,5.6,95,240,111.5,4.39,318,12.52,2115,74.61,Yes,,,,1998,2019,
Sony,Sony,Full frame,Zoom,,E,Sony FE 400-800mm F6.3-8 G OSS,,400,800,6.3,105,170,119.8,4.72,346,13.62,2475,87.3,Yes,,,,2499,2025,
Sony,Sony,Full frame,Prime,,E,Sony FE 14mm F1.8 GM,,14,14,1.8,N/A,25,83,3.27,99.8,3.93,460,16.23,No,,,,1598,2021,
Sony,Sony,Full frame,Prime,,E,Sony FE 16mm F1.8 G,,16,16,1.8,67,15,73.8,2.91,75,2.95,304,10.72,No,,,,899,2025,
Sony,Sony,Full frame,Prime,,E,Sony FE 20mm F1.8 G,,20,20,1.8,67,18,73.5,2.89,84.7,3.33,373,13.16,No,,,,899,2020,
Sony,Sony,Full frame,Prime,,E,Sony FE 24mm F1.4 GM,,24,24,1.4,67,24,75.4,2.97,92.4,3.64,445,15.7,No,,,,1398,2018,
Sony,Sony,Full frame,Prime,,E,Sony FE 24mm F2.8 G,,24,24,2.8,49,18,68,2.68,45,1.77,162,5.71,No,,,,598,2021,
Sony,Sony,Full frame,Prime,,E,Sony FE 28mm F2,,28,28,2,49,25,60,2.36,64,2.52,200,7.05,No,,,,448,2015,
Sony,Sony,Full frame,Prime,,E,Sony FE 35mm F1.4 GM,,35,35,1.4,67,25,76,2.99,96,3.78,524,18.48,No,,,,1398,2021,
Sony,Sony,Full frame,Prime,,E,Sony Zeiss Distagon T* FE 35mm F1.4 ZA,,35,35,1.4,72,30,78.5,3.09,112,4.41,630,22.22,No,,,,1598,2015,
Sony,Sony,Full frame,Prime,,E,Sony Zeiss Sonnar T* FE 35mm F2.8 ZA,,35,35,2.8,49,35,61.5,2.42,36.5,1.44,120,4.23,No,,,,798,2013,
Sony,Sony,Full frame,Prime,,E,Sony FE 35mm F1.8,,35,35,1.8,55,22,65.6,2.58,73,2.87,280,9.88,No,,,,749,2019,
Sony,Sony,Full frame,Prime,,E,Sony FE 40mm F2.5 G,,40,40,2.5,49,25,68,2.68,45,1.77,173,6.1,No,,,,598,2021,
Sony,Sony,Full frame,Prime,,E,Sony FE 50mm F1.2 GM,,50,50,1.2,72,40,87,3.43,109.2,4.3,778,27.44,No,,,,1998,2021,
Sony,Sony,Full frame,Prime,,E,Sony FE 50mm F1.4 GM,,50,50,1.4,67,41,80.6,3.17,96,3.78,516,18.2,No,,,,1298,2023,
Sony,Sony,Full frame,Prime,,E,Sony Zeiss Planar T* FE 50mm F1.4 ZA,,50,50,1.4,72,45,83.5,3.29,108,4.25,778,27.44,No,,,,1498,2016,
Sony,Sony,Full frame,Prime,,E,Sony FE 50mm F1.8,,50,50,1.8,49,45,68.6,2.7,59.5,2.34,186,6.56,No,,,,248,2016,
Sony,Sony,Full frame,Prime,,E,Sony FE 50mm F2.5 G,,50,50,2.5,49,31,68,2.68,45,1.77,174,6.14,No,,,,598,2021,
Sony,Sony,Full frame,Prime,,E,Sony FE 50mm F2.8 Macro,,50,50,2.8,55,16,70.8,2.79,71,2.8,236,8.33,No,,,,498,2016,
Sony,Sony,Full frame,Prime,,E,Sony Zeiss Sonnar T* FE 55mm F1.8 ZA,,55,55,1.8,49,50,64.4,2.54,71,2.8,281,9.91,No,,,,998,2013,
Sony,Sony,Full frame,Prime,,E,Sony FE 85mm F1.4 GM II,,85,85,1.4,77,85,84.7,3.33,107.3,4.22,642,22.65,No,,,,1798,2024,
Sony,Sony,Full frame,Prime,,E,Sony FE 85mm F1.4 GM,,85,85,1.4,77,85,89.5,3.52,107.5,4.23,848,29.91,No,,,,1798,2016,
Sony,Sony,Full frame,Prime,,E,Sony FE 85mm F1.8,,85,85,1.8,67,80,78,3.07,82,3.23,371,13.09,No,,,,598,2017,
Sony,Sony,Full frame,Prime,,E,Sony FE 90mm F2.8 Macro G OSS,,90,90,2.8,62,28,79,3.11,130.5,5.14,602,21.24,Yes,,,,1098,2015,
Sony,Sony,Full frame,Prime,,E,Sony FE 100mm F2.8 Macro GM OSS,,100,100,2.8,67,26,81.4,3.2,147.9,5.82,646,22.79,Yes,,,,1098,2025,
Sony,Sony,Full frame,Prime,,E,Sony FE 100mm F2.8 STF GM OSS,,100,100,2.8,72,57,85.2,3.35,118.1,4.65,700,24.69,Yes,,,,1498,2017,
Sony,Sony,Full frame,Prime,,E,Sony FE 135mm F1.8 GM,,135,135,1.8,82,70,89.5,3.52,127,5,953,33.62,No,,,,1898,2019,
Sony,Sony,Full frame,Prime,,E,Sony FE 300mm F2.8 GM OSS,,300,300,2.8,40.5,200,124,4.88,265,10.43,1470,51.85,Yes,,,,5998,2023,
Sony,Sony,Full frame,Prime,,E,Sony FE 400mm F2.8 GM OSS,,400,400,2.8,40.5,270,158.1,6.22,359,14.13,2895,102.12,Yes,,,,11998,2018,
Sony,Sony,Full frame,Prime,,E,Sony FE 600mm F4 GM OSS,,600,600,4,40.5,450,163.6,6.44,449,17.68,3040,107.23,Yes,,,,12998,2019,
Third-Party,Samyang/Rokinon,APS-C,Prime,,E,Samyang AF 12mm F2 E,,12,12,2,62,19,70,2.76,59.2,2.33,213,7.51,No,,,,499,2021,
Third-Party,Sigma,APS-C,Prime,,E,Sigma 12mm F1.4 DC | Contemporary,,12,12,1.4,62,17.2,68,2.68,69.4,2.73,225,7.94,No,,,,549,2025,
Third-Party,Sigma,APS-C,Prime,,E,Sigma 15mm F1.4 DC DN | Contemporary,,15,15,1.4,58,17.7,64,2.52,64.8,2.55,220,7.76,No,,,,599,2026,
Third-Party,Sigma,APS-C,Prime,,E,Sigma 16mm F1.4 DC DN | Contemporary,,16,16,1.4,67,25,72.2,2.84,92.3,3.63,405,14.29,No,,,,399,2017,
Third-Party,Sigma,APS-C,Prime,,E,Sigma 19mm F2.8 EX DN,,19,19,2.8,46,20,60.6,2.39,45.7,1.8,140,4.94,No,,,,,,
Third-Party,Sigma,APS-C,Prime,,E,Sigma 19mm F2.8 DN | Art,,19,19,2.8,46,20,60.8,2.39,45.7,1.8,160,5.64,No,,,,199,2013,
Third-Party,Sigma,APS-C,Prime,,E,Sigma 23mm F1.4 DC DN | Contemporary,,23,23,1.4,52,25,65.8,2.59,78.9,3.11,330,11.64,No,,,,449,2023,
Third-Party,Sigma,APS-C,Prime,,E,Sigma 30mm F2.8 EX DN,,30,30,2.8,46,30,60.6,2.39,38.6,1.52,130,4.59,No,,,,,,
Third-Party,Sigma,APS-C,Prime,,E,Sigma 30mm F2.8 DN | Art,,30,30,2.8,46,30,60.8,2.39,40.5,1.59,140,4.94,No,,,,199,2013,
Third-Party,Sigma,APS-C,Prime,,E,Sigma 30mm F1.4 DC DN | Contemporary,,30,30,1.4,52,30,64.8,2.55,73.3,2.89,265,9.35,No,,,,339,2016,
Third-Party,Sigma,APS-C,Prime,,E,Sigma 56mm F1.4 DC DN | Contemporary,,56,56,1.4,55,50,66.5,2.62,59.5,2.34,280,9.88,No,,,,479,2018,
Third-Party,Sigma,APS-C,Prime,,E,Sigma 60mm F2.8 DN | Art,,60,60,2.8,46,50,60.8,2.39,55.5,2.19,190,6.7,No,,,,239,2019,
Third-Party,Sirui,APS-C,Prime,,E,Sirui 16mm F1.2,,16,16,1.2,58,30,,,94,3.7,384,13.55,No,,,,429,2024,
Third-Party,Sirui,APS-C,Prime,,E,Sirui 20mm T1.8 1.33x Anamorphic,,20,20,T1.8,77,40,86.4,3.4,90.95,3.58,489,17.25,No,,,,699,2025,
Third-Party,Sirui,APS-C,Prime,,E,Sirui 23mm F1.2,,23,23,1.2,58,30,,,92.5,3.64,381,13.44,No,,,,349,2023,
Third-Party,Sirui,APS-C,Prime,,E,Sirui 33mm F1.2,,33,33,1.2,58,40,,,92.5,3.64,400,14.11,No,,,,349,2023,
Third-Party,Sirui,APS-C,Prime,,E,Sirui 40mm T1.8 1.33x Anamorphic,,40,40,T1.8,77,60,86.4,3.4,128.2,5.05,633,22.33,No,,,,899,2024,
Third-Party,Sirui,APS-C,Prime,,E,Sirui 56mm F1.2,,56,56,1.2,58,60,,,92.5,3.64,422,14.89,No,,,,349,2023,
Third-Party,Sirui,APS-C,Prime,,E,Sirui 75mm F1.2,,75,75,1.2,67,70,,,94,3.7,466,16.43,No,,,,439,2024,
Third-Party,Tokina,APS-C,Prime,,E,Tokina atx-m 23mm F1.4 E,,23,23,1.4,52,30,65,2.56,72,2.83,276,9.74,No,,,,449,2021,
Third-Party,Tokina,APS-C,Prime,,E,Tokina atx-m 33mm F1.4 E,,33,33,1.4,52,40,65,2.56,72,2.83,285,10.05,No,,,,449,2021,
Third-Party,Tokina,APS-C,Prime,,E,Tokina atx-m 56mm F1.4 E,,56,56,1.4,52,60,65,2.56,72,2.83,315,11.11,No,,,,479,2021,
Third-Party,TTArtisan,APS-C,Prime,,E,TTArtisan AF 17mm f1.8 Air,,17,17,1.8,52,18,60,2.36,47,1.85,170,6,No,,,,129,2026,
Third-Party,TTArtisan,APS-C,Prime,,E,TTArtisan AF 27mm F2.8,,27,27,2.8,39,35,61,2.4,29,1.14,88,3.1,No,,,,149,2023,
Third-Party,TTArtisan,APS-C,Prime,,E,TTArtisan AF 35mm F1.8,,35,35,1.8,52,35,65,2.56,60,2.36,199,7.02,No,,,,199,2023,
Third-Party,TTArtisan,APS-C,Prime,,E,TTArtisan AF 56mm F1.8,,56,56,1.8,52,50,65,2.56,62,2.44,233,8.22,No,,,,199,2023,
Third-Party,Viltrox,APS-C,Prime,,E,Viltrox AF 9mm F2.8 Air,,9,9,2.8,58,13,65,2.56,56.4,2.22,175,6.17,No,,,,279,2025,
Third-Party,Viltrox,APS-C,Prime,,E,Viltrox AF 13mm F1.4,,13,13,1.4,67,22,74,2.91,90,3.54,420,14.82,No,,,,429,2022,
Third-Party,Viltrox,APS-C,Prime,,E,Viltrox AF 15mm F1.7 Air,,15,15,1.7,58,23,65,2.56,56.4,2.22,180,6.35,No,,,,249,2025,
Third-Party,Viltrox,APS-C,Prime,,E,Viltrox AF 23mm F1.4,,23,23,1.4,52,30,65,2.56,72,2.83,260,9.17,No,,,,329,2019,
Third-Party,Viltrox,APS-C,Prime,,E,Viltrox AF 25mm F1.7 Air,,25,25,1.7,52,30,64,2.52,56.4,2.22,170,6,No,,,,249,2025,
Third-Party,Viltrox,APS-C,Prime,,E,Viltrox AF 27mm F1.2 Pro,,27,27,1.2,67,28,82,3.23,92,3.62,565,19.93,No,,,,545,2024,
Third-Party,Viltrox,APS-C,Prime,,E,Viltrox AF 33mm F1.4,,33,33,1.4,52,40,65,2.56,72,2.83,270,9.52,No,,,,329,2019,
Third-Party,Viltrox,APS-C,Prime,,E,Viltrox AF 35mm F1.7 Air,,35,35,1.7,52,33,64,2.52,56.4,2.22,170,6,No,,,,249,2024,
Third-Party,Viltrox,APS-C,Prime,,E,Viltrox AF 56mm F1.2 Pro,,56,56,1.2,67,50,78.4,3.09,91.7,3.61,570,20.11,No,,,,545,2025,
Third-Party,Viltrox,APS-C,Prime,,E,Viltrox AF 56mm F1.4,,56,56,1.4,52,60,65,2.56,72,2.83,290,10.23,No,,,,329,2019,
Third-Party,Viltrox,APS-C,Prime,,E,Viltrox AF 56mm F1.7 Air,,56,56,1.7,52,55,65,2.56,54.3,2.14,170,6,No,,,,229,2024,
Third-Party,Viltrox,APS-C,Prime,,E,Viltrox AF 75mm F1.2 Pro,,75,75,1.2,77,88,87,3.43,101,3.98,675,23.81,No,,,,549,2023,
Third-Party,Yongnuo,APS-C,Prime,,E,Yongnuo YN11mm F1.8S DA DSM WL,,11,11,1.8,58,15,66,2.6,69,2.72,260,9.17,No,,,,319,2024,
Third-Party,Yongnuo,APS-C,Prime,,E,Yongnuo YN16mm F1.8S DA DSM,,16,16,1.8,58,17,64,2.52,69,2.72,274,9.67,No,,,,298,2022,
Third-Party,Yongnuo,APS-C,Prime,,E,Yongnuo YN50mm F1.8S DA DSM,,50,50,1.8,49,45,64,2.52,58,2.28,146,5.15,No,,,,129,2020,
Third-Party,Zeiss,APS-C,Prime,,E,Zeiss Touit 2.8/12,,12,12,2.8,67,18,88,3.46,68,2.68,260,9.17,No,,,,999,2013,
Third-Party,Zeiss,APS-C,Prime,,E,Zeiss Touit 1.8/32,,32,32,1.8,52,30,75,2.95,60,2.36,200,7.05,No,,,,719,2013,
Third-Party,Zeiss,APS-C,Prime,,E,Zeiss Touit 2.8/50M,,50,50,2.8,52,15,75,2.95,91,3.58,290,10.23,No,,,,999,2014,
Third-Party,Sigma,APS-C,Zoom,,E,Sigma 10-18mm F2.8 DC DN | Contemporary,,10,18,2.8,67,11.6,72.2,2.84,64,2.52,255,8.99,No,,,,599,2023,
Third-Party,Sigma,APS-C,Zoom,,E,Sigma 17-40mm F1.8 DC | Art,,17,40,1.8,67,28,72.9,2.87,117.9,4.64,525,18.52,No,,,,1099,2025,
Third-Party,Sigma,APS-C,Zoom,,E,Sigma 18-50mm F2.8 DC DN | Contemporary,,18,50,2.8,55,12.1,61.6,2.43,76.5,3.01,290,10.23,No,,,,549,2021,
Third-Party,Sigma,APS-C,Zoom,,E,Sigma 16-300mm F3.5-6.7 DC OS | Contemporary,,16,300,3.5,67,17,73.8,2.91,123.4,4.86,615,21.69,Yes,,,,899,2025,
Third-Party,Tamron,APS-C,Zoom,,E,Tamron 11-20mm F/2.8 Di III-A RXD,,11,20,2.8,67,15,73,2.87,86.2,3.39,335,11.82,No,,,,829,2021,
Third-Party,Tamron,APS-C,Zoom,,E,Tamron 17-70mm F/2.8 Di III-A VC RXD,,17,70,2.8,67,19,74.6,2.94,119.3,4.7,525,18.52,Yes,,,,799,2020,
Third-Party,Tamron,APS-C,Zoom,,E,Tamron 18-200mm F/3.5-6.3 Di III VC,,18,200,3.5,62,50,68,2.68,96.7,3.81,460,16.23,Yes,,,,199,2011,
Third-Party,Tamron,APS-C,Zoom,,E,Tamron 18-300mm F/3.5-6.3 Di III-A VC VXD,,18,300,3.5,67,15,75.5,2.97,125.6,4.94,620,21.87,Yes,,,,699,2021,
Third-Party,Tokina,APS-C,Zoom,,E,Tokina atx-m 11-18mm F2.8 E,,11,18,2.8,67,19,74.4,2.93,74.1,2.92,335,11.82,No,,,,599,2022,
Third-Party,7Artisans,Full frame,Prime,,E,7Artisans AF 50mm F1.8,,50,50,1.8,62,50,72,2.83,104,4.09,421,14.85,No,,,,199,2023,
Third-Party,AstrHori,Full frame,Prime,,E,AstrHori 85mm F1.8 AF,,85,85,1.8,72,79,80,3.15,93.5,3.68,626,22.08,No,,,,349,2022,
Third-Party,Laowa,Full frame,Prime,,E,Laowa 10mm f/2.8 Zero-D FF,,10,10,2.8,77,12,82,3.23,72.8,2.87,420,14.82,No,,,,699,2024,
Third-Party,Laowa,Full frame,Prime,,E,Laowa 12mm f/2.8 Lite Zero-D FF,,12,12,2.8,72,14,77,3.03,76.5,3.01,377,13.3,No,,,,549,2025,
Third-Party,Laowa,Full frame,Prime,,E,Laowa 180mm f/4.5 1.5X Ultra Macro APO,,180,180,4.5,62,30,67.6,2.66,134.4,5.29,522,18.41,No,,,,599,2025,
Third-Party,Laowa,Full frame,Prime,,E,Laowa 200mm f/2 AF FF,,200,200,2,105,150,118,4.65,174.8,6.88,1588,56.01,No,,,,2999,2025,
Third-Party,Meike,Full frame,Prime,,E,Meike 85mm F1.4 AF,,85,85,1.4,77,98,87,3.43,114,4.49,735,25.93,No,,,,549,2023,
Third-Party,Meike,Full frame,Prime,,E,Meike 85mm f1.8 Pro FF AF STM,,85,85,1.8,62,85,76,2.99,95,3.74,389,13.72,No,,,,199,2024,
Third-Party,Meike,Full frame,Prime,,E,Meike 85mm F1.8 SE Mark II,,85,85,1.8,62,65,76,2.99,100.2,3.94,369,13.02,No,,,,179,2025,
Third-Party,Meike,Full frame,Prime,,E,Meike 85mm F1.8 FF STM,,85,85,1.8,67,90,79.5,3.13,,,386,13.62,No,,,,169,2022,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 14mm F2.8 FE,,14,14,2.8,N/A,20,86,3.39,97.5,3.84,500,17.64,No,,,,699,2016,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 16mm F2.8 P FE,,16,16,2.8,62,12,69.8,2.75,70.5,2.78,207,7.3,No,,,,399,2025,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 18mm F2.8 FE,,18,18,2.8,58,25,63.5,2.5,60.5,2.38,145,5.11,No,,,,499,2019,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 24mm F1.8 FE,,24,24,1.8,58,19,65,2.56,71.5,2.81,230,8.11,No,,,,599,2021,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 24mm F2.8 FE,,24,24,2.8,49,24,61.8,2.43,37,1.46,120,4.23,No,,,,349,2018,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 35mm F1.4 FE,,35,35,1.4,67,30,75.9,2.99,115,4.53,645,22.75,No,,,,799,2017,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 35mm F1.4 FE II,,35,35,1.4,67,29,75,2.95,115,4.53,659,23.25,No,,,,899,2022,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 35mm F1.4 P FE,,35,35,1.4,67,30,75,2.95,99.2,3.91,470,16.58,No,,,,699,2024,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 35mm F1.8 FE,,35,35,1.8,58,29,65,2.56,63.5,2.5,210,7.41,No,,,,399,2020,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 35mm F1.8 P FE,,35,35,1.8,62,27,69.8,2.75,71.5,2.81,216,7.62,No,,,,449,2026,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 35mm F2.8 FE,,35,35,2.8,49,35,61.8,2.43,33,1.3,108,3.81,No,,,,349,2017,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 45mm F1.8 FE,,45,45,1.8,49,45,61.8,2.43,56.1,2.21,162,5.71,No,,,,499,2019,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 50mm F1.4 FE,,50,50,1.4,67,45,73.5,2.89,97.7,3.85,585,20.64,No,,,,699,2016,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 50mm F1.4 FE II,,50,50,1.4,72,40,80.1,3.15,88.9,3.5,420,14.82,No,,,,899,2021,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 75mm F1.8 FE,,75,75,1.8,58,69,65,2.56,69,2.72,230,8.11,No,,,,399,2020,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 85mm F1.4 FE,,85,85,1.4,77,90,88,3.46,99.5,3.92,568,20.04,No,,,,699,2019,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 85mm F1.4 FE II,,85,85,1.4,72,85,83.4,3.28,99.5,3.92,509,17.96,No,,,,799,2022,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 85mm F1.8 P FE,,85,85,1.8,62,80,69.8,2.75,71.5,2.81,272,9.6,No,,,,449,2025,
Third-Party,Samyang/Rokinon,Full frame,Prime,,E,Samyang AF 135mm F1.8 FE,,135,135,1.8,82,69,93.4,3.68,129.6,5.1,772,27.23,No,,,,1399,2022,
