Producer,CPU Name,Processor Number,Brand Modifier,"Intel® Core™ 
Gen",# of Cores,# of P-cores,# of E-cores,# of Threads,Max Turbo Frequency (GHz),Performance-core Base Frequency (GHz),Efficient-core Base Frequency (GHz),Processor Base Frequency (GHz),Cache (MB),"Processor Base Power (previously Thermal Design Power (TDP)) 
(W)",Max Memory Size (dependent on memory type) GB,Memory Types (MT/s),Max # of PCI Express Lanes,Supported Socket,Processor Graphics,Graphics Max Dynamic Frequency (GHz),Intel® Optane™ Memory Supported,Intel® Turbo Boost Technology 2.0,Intel® Turbo Boost Max Technology 3.0,Intel® vPro™ Platform Eligibility,"Max Resolution for HDMI,
 Max Resolution for DP, 
Max Resolution for (eDP - Integrated Flat Panel)",Price
Intel,Intel Core i5-12600K,i5-12600K,i5,12th,10,6,4,16,4.90,3.70,2.80,N/A,20,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.45,Yes,Yes,No,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",184.99
Intel,Intel Core i5-12600KF,i5-12600KF,i5,12th,10,6,4,16,4.90,3.70,2.80,N/A,20,125,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,N/A,Yes,Yes,No,No,N/A,159.99
Intel,Intel Core i3-12300,i3-12300,i3,12th,4,4,0,8,4.40,3.50,N/A,N/A,12,60,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.45,Yes,Yes,No,No,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i3-12100,i3-12100,i3,12th,4,4,0,8,4.30,3.30,N/A,N/A,12,60,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.40,Yes,Yes,No,No,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",224.87
Intel,Intel Core i3-12100F,i3-12100F,i3,12th,4,4,0,8,4.30,3.30,N/A,N/A,12,58,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,No,N/A,Yes,Yes,No,No,N/A,94.27
Intel,Intel Core i5-12600T,i5-12600T,i5,12th,6,6,0,12,4.60,2.10,N/A,N/A,18,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 770,1.45,Yes,Yes,No,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i3-12300T,i3-12300T,i3,12th,4,4,0,8,4.20,2.30,N/A,N/A,12,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.45,Yes,Yes,No,No,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",
Intel,Intel Core i3-12100T,i3-12100T,i3,12th,4,4,0,8,4.10,2.20,N/A,N/A,12,35,128,"Up to DDR5-4800, 
Up to DDR4-3200",20,LGA1700,UHD 730,1.40,Yes,Yes,No,No,"HDMI: 4096 x 2160 @ 60Hz
DP: 7680 x 4320 @ 60Hz
eDP: 5120 x 3200 @ 120Hz",0
Intel,Intel Core i7-11700,i7-11700,i7,11th,8,N/A,N/A,16,4.90,N/A,N/A,2.50,16,65,128,DDR4-3200,20,LGA1200,UHD 750,1.30,Yes,Yes,Yes,Yes,"HDMI: 4096 x 2304 @ 24Hz
DP: 3840 x 2160 @ 60Hz
eDP: 3840x 2160 @ 60Hz",0
Intel,Intel Core i9-11900T,i9-11900T,i9,11th,8,N/A,N/A,16,4.90,N/A,N/A,1.50,16,35,128,DDR4-3200,20,LGA1200,UHD 750,1.30,Yes,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 5120 x 3200 @ 60Hz
eDP: 5120 x 3200 @60Hz",
Intel,Intel Core i9-11900KF,i9-11900KF,i9,11th,8,N/A,N/A,16,5.20,N/A,N/A,3.50,16,125,128,DDR4-3200,20,LGA1200,No ,N/A,Yes,Yes,Yes,No,N/A,
Intel,Intel Core i9-11900K,i9-11900K,i9,11th,8,N/A,N/A,16,5.30,N/A,N/A,3.50,16,125,128,DDR4-3200,20,LGA1200,UHD 750,1.30,Yes,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 5120 x 3200 @ 60Hz
eDP: 5120 x 3200 @60Hz",429
Intel,Intel Core i9-11900F,i9-11900F,i9,11th,8,N/A,N/A,16,5.20,N/A,N/A,2.50,16,65,128,DDR4-3200,20,LGA1200,No ,N/A,Yes,Yes,Yes,No,N/A,0
Intel,Intel Core i9-11900,i9-11900,i9,11th,8,N/A,N/A,16,5.20,N/A,N/A,2.50,16,65,128,DDR4-3200,20,LGA1200,UHD 750,1.30,Yes,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 5120 x 3200 @ 60Hz
eDP: 5120 x 3200 @60Hz",0
Intel,Intel Core i7-11700T,i7-11700T,i7,11th,8,N/A,N/A,16,4.60,N/A,N/A,1.40,16,35,128,DDR4-3200,20,LGA1200,UHD 750,1.30,Yes,Yes,Yes,Yes,"HDMI: 4096 x 2160 @ 60Hz
DP: 5120 x 3200 @ 60Hz
eDP: 5120 x 3200 @60Hz",
Intel,Intel Core i7-11700KF,i7-11700KF,i7,11th,8,N/A,N/A,16,5.00,N/A,N/A,3.60,16,125,128,DDR4-3200,20,LGA1200,No ,N/A,Yes,Yes,Yes,No,N/A,439.99
