Name,Type,Color,Power Supply,Side Panel,External volume,"Internal 3.5"" bays",Rating,Price
Phanteks EVOLV X2,ATX Mid Tower,Black,None,Tempered Glass,60.9,2,8,119.99
Silverstone ALTA D1,ATX Full Tower,Black,None,Mesh,78.8,4,0,804.22
Lian Li O11 Dynamic Mini V2 Flow,ATX Mid Tower,White,None,Tempered Glass,45.4,2,3,99.99
HAVN BF 360 Flow,ATX Mid Tower,Black,None,Tempered Glass,68.4,2,4,229.99
Corsair FRAME 4000D RS,ATX Mid Tower,Black,None,Tempered Glass,56.7,2,5,84.99
Fractal Design Pop Air,ATX Mid Tower,Black,None,Tempered Glass,46.2,2,23,89.99
Montech X3 Mesh,ATX Mid Tower,Black,None,Tempered Glass,,2,15,69.98
HYTE Y70 Touch Infinite,ATX Mid Tower,White / Black,None,Tempered Glass,70.7,2,2,379.99
NZXT H6 Flow RGB,ATX Mid Tower,Black,None,Tempered Glass,51.8,1,17,99
Fractal Design North XL,ATX Full Tower,Black,None,Mesh,61.4,2,5,194.99
Lian Li A3-mATX,MicroATX Mini Tower,White,None,Mesh,26.3,1,10,72.98
NZXT H6 Flow RGB,ATX Mid Tower,White,None,Tempered Glass,51.8,1,18,89.99
Fractal Design Define R5,ATX Mid Tower,Black,None,None,54.2,8,63,134.99
Jonsbo N4,MicroATX Desktop,Black / Brown,None,Mesh,19.6,6,0,127.99
Deepcool CH160 PLUS,MicroATX Mini Tower,Black,None,Tempered Glass,23.7,1,0,
Lian Li O11 Vision,ATX Mid Tower,Black,None,Tempered Glass,67.8,2,19,129.99
Noctua Antec Flux Pro Noctua Edition,ATX Full Tower,Brown / Black,None,Tempered Glass,70.8,4,0,399.95
Okinos Cypress 3 Wood,MicroATX Mini Tower,Black / Brown,None,Tempered Glass,31.4,2,8,59.99
Lian Li VECTOR V100 MINI,MicroATX Mid Tower,Black,None,Tempered Glass,42.9,1,0,49.99
Jonsbo N5,ATX Full Tower,Black / Brown,None,Mesh,50.1,12,1,249.99
NZXT H510,ATX Mid Tower,White,None,Tempered Glass,41.3,2,167,
Corsair 3000D AIRFLOW,ATX Mid Tower,Black,None,Tempered Glass,49.5,2,9,
HYTE Y70,ATX Mid Tower,Pink,None,Tempered Glass,70.7,2,2,199.99
KOLINK Unity Meshbay Performance,ATX Mid Tower,Black,None,None,41,2,0,
Fractal Design Pop Air,ATX Mid Tower,Black,None,None,46.2,2,5,84.99
BGears b-Vortex-RGB,ATX Mid Tower,Black,None,Tempered Glass,38.3,2,0,46.99
Corsair FRAME 4000D RS ARGB,ATX Mid Tower,White,None,Tempered Glass,56.7,2,2,89.99
NZXT H7 Flow ,ATX Mid Tower,White,None,Tempered Glass,62.1,2,2,69.98
Phanteks XT V3,MicroATX Mini Tower,Black,None,Tempered Glass,40,1,3,56.98
Fractal Design Meshify 3,ATX Mid Tower,Black,None,Tinted Tempered Glass,50.3,2,5,154.99
Antec FLUX,ATX Mid Tower,Black / Brown,None,Tempered Glass,58.1,2,9,94.99
Fractal Design Pop Mini Air,MicroATX Mid Tower,Black,None,Tempered Glass,36.5,2,39,99.99
Fractal Design Focus G,ATX Mid Tower,Black,None,Acrylic,42.2,2,69,59.99
Fractal Design Meshify 2,ATX Mid Tower,Black,None,None,61.7,6,6,164.99
Thermaltake View 270 Plus TG ARGB,ATX Mid Tower,Black,None,Tempered Glass,47.6,2,7,69.98
Okinos Aqua 3 ARGB,MicroATX Mini Tower,Black,None,Tempered Glass,28.8,2,10,56.99
Antec FLUX M,MicroATX Mini Tower,Black,None,Tempered Glass,41.4,2,0,64.99
Deepcool CH260,MicroATX Desktop,Black,None,Tempered Glass,30.8,1,3,
Corsair 5000D AIRFLOW,ATX Mid Tower,Black,None,Tempered Glass,66.2,2,56,
Corsair AIR 5400 LX-R RGB iCUE LINK,ATX Mid Tower,Black,None,Tempered Glass,74.6,1,1,279.99
Thermaltake View 170 ARGB,MicroATX Mini Tower,White,None,Tempered Glass,35,1,6,54.99
Cooler Master MasterBox NR200P V2,Mini ITX Desktop,Black,None,Mesh,20.1,1,4,125.99
Deepcool CH160,Mini ITX Desktop,Black,None,Tempered Glass,19.1,1,10,
Montech X5,ATX Mid Tower,Black,None,Tempered Glass,51.6,2,2,64.9
GAMDIAS TALOS E3 MESH,ATX Mid Tower,White,None,Tempered Glass,34.1,2,1,49.99
MSI MAG FORGE 120A AIRFLOW,ATX Mid Tower,Black,None,Tempered Glass,43,3,2,
Fractal Design Node 804,MicroATX Mid Tower,Black,None,Acrylic,41.1,10,35,134.99
Antec C8 Wood,ATX Full Tower,Black / Brown,None,Tempered Glass,66.9,2,5,109.99
Corsair 9000D RGB AIRFLOW,ATX Full Tower,White,None,Tempered Glass,149.6,5,0,519.99
Antec C5 ARGB,ATX Mid Tower,White,None,Tempered Glass,,1,9,99.99
Fractal Design North XL,ATX Full Tower,White,None,Tempered Glass,61.4,2,7,194.99
Montech AIR 100 ARGB,MicroATX Mid Tower,White,None,Tempered Glass,36.1,2,20,59.99
HYTE Y70 Touch Infinite,ATX Mid Tower,Red / Black,None,Tempered Glass,70.7,2,0,378.99
Montech X5M,MicroATX Mini Tower,Black,None,Tempered Glass,45.3,2,6,54.9
Jonsbo NV10,Mini ITX Desktop,Silver / Brown,None,Mesh,4.5,0,1,86
Zalman CUBIX,MicroATX Mini Tower,Black,None,None,,1,0,37.99
Fractal Design Node 304,Mini ITX Tower,Black / White,None,None,19.5,6,56,109.99
NZXT H5 Flow RGB ,ATX Mid Tower,Black,None,Tempered Glass,45,1,5,99.99
Corsair FRAME 5000D RS ARGB,ATX Mid Tower,Black,None,Tempered Glass,75.3,2,1,169.99
Phanteks XT M3,MicroATX Mid Tower,Black,None,Tempered Glass,40,1,7,
Antec AX61 ELITE,ATX Mid Tower,Black,None,Tempered Glass,36.4,2,5,99.64
Fractal Design Define 7,ATX Mid Tower,Black,None,None,62.4,6,16,194.99
be quiet! Light Base 600 DX,ATX Mid Tower,Black,None,Tempered Glass,59.7,1,2,114.9
BitFenix Nova Mesh M ARGB,MicroATX Mini Tower,Black,None,Tempered Glass,31.6,2,10,49.9
MSI MAG PANO 100R PZ,ATX Mid Tower,Black,None,Tempered Glass,72.5,2,0,92.98
Fractal Design Torrent,ATX Mid Tower,Black,None,Tinted Tempered Glass,69.8,2,11,204.99
Jonsbo TK-0,Mini ITX Desktop,Black,None,Tempered Glass,16.4,1,2,133
Lian Li LANCOOL III RGB,ATX Mid Tower,Black,None,Tempered Glass,65.5,4,18,189.99
Fractal Design Ridge PCIe 4.0,Mini ITX Tower,White,None,Mesh,16.3,0,10,144.99
Corsair 3500X RS-R ARGB,ATX Mid Tower,White,None,Tempered Glass,55.9,2,1,79.98
DARKROCK EC2,ATX Mid Tower,Black,None,Tempered Glass,37.5,2,4,54.99
Phanteks NV5 MKII,ATX Mid Tower,Black,None,Tempered Glass,60.2,3,5,89.99
Asus A31,ATX Mid Tower,Black,None,Tempered Glass,52.9,2,3,62.99
Azza Fighter,ATX Mid Tower,Black,None,Tempered Glass,34.2,2,3,
Lian Li Lancool 207,ATX Mid Tower,White,None,Tempered Glass,45.5,2,12,89.99
Fractal Design Core 1100,MicroATX Mini Tower,Black,None,None,25.7,2,18,49.99
Fractal Design Define 7 XL,ATX Full Tower,Black,None,None,82,6,6,239.99
Jonsbo C6 MAX,MicroATX Desktop,Black,None,Tempered Glass,20.8,1,2,83
DIYPC DIY-mATX06-Wood,MicroATX Mini Tower,Black / Brown,None,Tempered Glass,40.4,2,1,65.91
Jonsbo N10,Mini ITX Tower,Black,None,Mesh,4.5,0,0,65
Thermaltake V100 Perforated,ATX Mid Tower,Black,None,None,36.6,2,3,49.99
be quiet! Pure Base 501 Airflow,ATX Mid Tower,Black,None,None,48.1,2,1,95.93
HAVN HS420 VGPU,ATX Mid Tower,Black,None,Tempered Glass,76.8,5,0,329.99
darkFlash DB330M,MicroATX Mini Tower,Black,None,Tempered Glass,29,1,1,66.98
Corsair 4000D Airflow,ATX Mid Tower,White,None,Tinted Tempered Glass,48.6,2,118,
Montech XR Wood,ATX Mid Tower,Black / Brown,None,Tempered Glass,49.8,2,1,69.9
NZXT H510,ATX Mid Tower,Black,None,Tempered Glass,41.3,2,143,
