System,Brand,Range,,Type,Mount,Lens,,FL (mm),Max FL (mm),Max. Aper.,Filter (mm),MFD (cm),Diam. (mm),Diam. (in.),Length (mm),Length (in.),Weight (g),Weight (oz),IS,WR,Elements,Blades,Current Price,,Notes,Launch Year,Launch Price (USD),Source URL
Sony,Sigma,Prime,01/02/2018,,E,35mm F1.4 DG HSM | Art,01/02/2018,35,1.4,,67,,77,,120,,755,,No,,,,,01/02/2018,,2015,1600,https://www.sony.com/electronics/camera-lenses
Sony,Sigma,Prime,01/04/2021,,E,35mm F1.4 DG DN | Art,01/04/2021,35,1.4,,67,,75.5,,111.5,,640,,No,,,,,01/04/2021,,2015,1600,https://www.sony.com/electronics/camera-lenses
Sony,Sigma,Prime,01/02/2026,,E,35mm F1.4 DG II | Art,01/02/2026,35,1.4,,67,,73.0,,96.0,,525,,No,,,,,01/02/2026,,2015,1600,https://www.sony.com/electronics/camera-lenses
Sony,Sigma,Prime,01/12/2020,,E,35mm F2 DG DN | Contemporary (I series),01/12/2020,35,2,,58,,70,,67.4,,325,,No,,,,,01/12/2020,,2020,650,https://www.sigma-global.com
Sony,Sigma,Prime,01/09/2018,,E,40mm F1.4 DG HSM | Art,01/09/2018,40,1.4,,82,,87.8,,157,,1260,,No,,,,,01/09/2018,,2018,1400,https://www.sigma-global.com
Sony,Sigma,Prime,01/07/2019,,E,45mm F2.8 DG DN | Contemporary (I series),01/07/2019,45,2.8,,55,,64.0,,48.2,,230,,No,,,,,01/07/2019,,2019,550,https://www.sigma-global.com
Sony,Sigma,Prime,01/03/2024,,E,50mm F1.2 DG DN | Art,01/03/2024,50,1.2,,72,,81.0,,110.8,,740,,No,,,,,01/03/2024,,2024,1400,https://www.sigma-global.com
Sony,Sigma,Prime,01/02/2018,,E,50mm F1.4 DG HSM | Art,01/02/2018,50,1.4,,77,,85.4,,125.9,,880,,No,,,,,01/02/2018,,2023,1300,https://www.sony.com/electronics/camera-lenses
Sony,Sigma,Prime,01/02/2023,,E,50mm F1.4 DG DN | Art,01/02/2023,50,1.4,,72,,78.2,,111.5,,660,,No,,,,,01/02/2023,,2023,1300,https://www.sony.com/electronics/camera-lenses
Sony,Sigma,Prime,01/04/2023,,E,50mm F2 DG DN | Contemporary (I series),01/04/2023,50,2,,58,,70.0,,70.0,,345,,No,,,,,01/04/2023,,2023,600,https://www.sigma-global.com
