2026-06-26 13:40:00 | INFO     | ss_crawler | [crawler] Fetching listing 28/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/pchod.html
2026-06-26 13:40:03 | INFO     | ss_crawler | [listing_versioning] Legacy listing pchod v2 matches by computed fingerprint, updating
2026-06-26 13:40:03 | INFO     | ss_crawler | [repository] ⏸️ pchod: Unchanged
2026-06-26 13:40:03 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\pchod_3830a227.jpg
2026-06-26 13:40:03 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: AMD Radeon RX 470 (100% confidence) | Asus Mining-Rx470-4
2026-06-26 13:40:03 | INFO     | ss_crawler | [crawler] Fetching listing 29/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/nhefi.html
2026-06-26 13:40:05 | INFO     | ss_crawler | [listing_versioning] Legacy listing nhefi v2 matches by computed fingerprint, updating
2026-06-26 13:40:05 | INFO     | ss_crawler | [repository] ⏸️ nhefi: Unchanged
2026-06-26 13:40:05 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\nhefi_7e2afd2b.jpg
2026-06-26 13:40:05 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: NVIDIA GeForce GTX 970 (90% confidence) | MSI Gtx 970 gaming
2026-06-26 13:40:05 | INFO     | ss_crawler | [crawler] Fetching listing 30/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/bidxhj.html
2026-06-26 13:40:07 | INFO     | ss_crawler | [listing_versioning] Legacy listing bidxhj v2 matches by computed fingerprint, updating
2026-06-26 13:40:07 | INFO     | ss_crawler | [repository] ⏸️ bidxhj: Unchanged
2026-06-26 13:40:07 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\bidxhj_f202c3e7.jpg
2026-06-26 13:40:07 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: AMD Radeon RX 460 (100% confidence) | Sapphire Radeon rx 460
2026-06-26 13:40:07 | INFO     | ss_crawler | [scraper] 📄 Fetching category: https://www.ss.com/lv/electronics/computers/completing-pc/video/page1085.html
2026-06-26 13:40:07 | INFO     | ss_crawler | [crawler] Fetching category page: https://www.ss.com/lv/electronics/computers/completing-pc/video/page1085.html
2026-06-26 13:40:10 | INFO     | ss_crawler | [parser] Found 30 listings on page
2026-06-26 13:40:10 | INFO     | ss_crawler | [scraper] 🔍 Found 30 listings to process
2026-06-26 13:40:10 | INFO     | ss_crawler | [crawler] Fetching listing 1/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/ejnie.html
2026-06-26 13:40:12 | INFO     | ss_crawler | [listing_versioning] Legacy listing ejnie v1 matches by computed fingerprint, updating
2026-06-26 13:40:12 | INFO     | ss_crawler | [repository] ⏸️ ejnie: Unchanged
2026-06-26 13:40:12 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\ejnie_d1ab319a.jpg
2026-06-26 13:40:12 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: NVIDIA GeForce GTX 1660 Super (75% confidence) | Asus 1660 Super
2026-06-26 13:40:12 | INFO     | ss_crawler | [crawler] Fetching listing 2/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/fdjpc.html
2026-06-26 13:40:15 | INFO     | ss_crawler | [listing_versioning] Legacy listing fdjpc v1 matches by computed fingerprint, updating
2026-06-26 13:40:15 | INFO     | ss_crawler | [repository] ⏸️ fdjpc: Unchanged
2026-06-26 13:40:15 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\fdjpc_9df4e3e0.jpg
2026-06-26 13:40:15 | INFO     | ss_crawler | [scraper] ⏭️ UNCHANGED: Matched: NVIDIA GeForce RTX 5070 Ti (90% confidence) | Asus Rtx 5070 ti
2026-06-26 13:40:15 | INFO     | ss_crawler | [crawler] Fetching listing 3/30: https://www.ss.com/msg/lv/electronics/computers/completing-pc/video/dkpex.html
2026-06-26 13:40:17 | INFO     | ss_crawler | [listing_versioning] Legacy listing dkpex v1 matches by computed fingerprint, updating
2026-06-26 13:40:17 | INFO     | ss_crawler | [repository] ⏸️ dkpex: Unchanged
2026-06-26 13:40:17 | INFO     | ss_crawler | [scraper] Image saved locally: gpus\dkpex_831fea8a.jpg
