System Name,Company,Release,GEN
Z+,Subor,Cancelled (Supposed to Release 2018),8
Neo Geo X,Tommo,"NA:December 18, 2012",8
PlayStation 5 Digital Edition,Sony,,9
PlayStation 5,Sony,,9
PlayStation 5 Pro,Sony,,9
Xbox Series S,Microsoft,,9
Xbox Series X,Microsoft,,9
Nintendo Switch 2,Nintendo,,9
Steam Deck,,,9
Meta Quest 2,,,9
Meta Quest 3,,,9
Meta Quest 3S,,,9
Meta Quest Pro,,,9
PICO 4,,,9
HTC Vive XR Elite,,,9
